Datetime (UTC),Elia Grid Load [MW]
2023/10/24 0:00,2078.673
2023/10/25 0:00,2180.131
2023/10/26 0:00,2678.133
2023/10/27 0:00,2254.123
2023/10/28 0:00,2685.441
2023/10/29 0:00,2653.234
2023/10/30 0:00,2483.816
2023/10/31 0:00,2254.731
2023/11/1 0:00,1993.923
2023/11/2 0:00,2089.587
2023/11/3 0:00,2737.272
2023/11/4 0:00,2283.194
2023/11/5 0:00,2948.887
2023/11/6 0:00,2277.985
2023/11/7 0:00,2382.475
2023/11/8 0:00,1878.595
2023/11/9 0:00,2484.206
2023/11/10 0:00,2373.086
2023/11/11 0:00,2946.185
2023/11/12 0:00,3096.755
2023/11/13 0:00,3200.753
2023/11/14 0:00,2899.569
2023/11/15 0:00,2605.686
2023/11/16 0:00,2341.136
2023/11/17 0:00,2238.71
2023/11/18 0:00,2791.104
2023/11/19 0:00,2687.177
2023/11/20 0:00,2341.798
2023/11/21 0:00,1843.782
2023/11/22 0:00,2187.616
2023/11/23 0:00,2571.853
2023/11/24 0:00,2785.572
2023/11/25 0:00,2807.519
2023/11/26 0:00,3048.866
2023/11/27 0:00,2364.813
2023/11/28 0:00,2071.232
2023/11/29 0:00,2136.318
2023/11/30 0:00,2700.89
2023/12/1 0:00,2693.068
2023/12/2 0:00,2859.922
2023/12/3 0:00,3259.108
2023/12/4 0:00,1775.073
2023/12/5 0:00,2474.397
2023/12/6 0:00,2003.131
2023/12/7 0:00,1957.204
2023/12/8 0:00,2809.771
2023/12/9 0:00,2840.779
2023/12/10 0:00,2693.237
2023/12/11 0:00,2796.404
2023/12/12 0:00,3040.128
2023/12/13 0:00,3367.456
2023/12/14 0:00,3736.988
2023/12/15 0:00,3952.807
2023/12/16 0:00,3885.916
2023/12/17 0:00,3637.38
2023/12/18 0:00,2740.083
2023/12/19 0:00,3053.078
2023/12/20 0:00,3181.021
2023/12/21 0:00,3478.695
2023/12/22 0:00,3788.398
2023/12/23 0:00,2983.125
2023/12/24 0:00,3036.273
2023/12/25 0:00,2914.333
2023/12/26 0:00,2096.974
2023/12/27 0:00,2314.122
2023/12/28 0:00,2577.636
2023/12/29 0:00,3506.925
2023/12/30 0:00,3263.398
2023/12/31 0:00,3584.466
2024/1/1 0:00,3239.777
2024/1/2 0:00,3220.268
2024/1/3 0:00,2352.58
2024/1/4 0:00,2963.517
2024/1/5 0:00,2756.889
2024/1/6 0:00,2588.85
2024/1/7 0:00,2675.165
2024/1/8 0:00,2372.021
2024/1/9 0:00,2864.056
2024/1/10 0:00,2350.487
2024/1/11 0:00,2662.616
2024/1/12 0:00,2176.67
2024/1/13 0:00,2310.833
2024/1/14 0:00,2408.061
2024/1/15 0:00,2496.269
2024/1/16 0:00,2841.385
2024/1/17 0:00,3115.718
2024/1/18 0:00,3171.54
2024/1/19 0:00,3422.488
2024/1/20 0:00,3251.627
2024/1/21 0:00,2858.792
2024/1/22 0:00,3559.613
2024/1/23 0:00,2906.188
2024/1/24 0:00,3003.979
2024/1/25 0:00,2665.708
2024/1/26 0:00,3514.047
2024/1/27 0:00,3348.208
2024/1/28 0:00,3064.918
2024/1/29 0:00,2972.055
2024/1/30 0:00,2632.569
2024/1/31 0:00,2779.384
2024/2/1 0:00,3310.924
2024/2/2 0:00,3183.212
2024/2/3 0:00,3146.706
2024/2/4 0:00,2141.576
2024/2/5 0:00,1022.873
2024/2/6 0:00,1920.586
2024/2/7 0:00,3873.563
2024/2/8 0:00,4168.956
2024/2/9 0:00,3316.561
2024/2/10 0:00,3641.91
2024/2/11 0:00,3250.985
2024/2/12 0:00,3648.682
2024/2/13 0:00,3615.314
2024/2/14 0:00,3159.12
2024/2/15 0:00,3231.086
2024/2/16 0:00,2929.289
2024/2/17 0:00,2596.364
2024/2/18 0:00,2287.298
2024/2/19 0:00,2136.758
2024/2/20 0:00,2840.124
2024/2/21 0:00,3195.722
2024/2/22 0:00,2222.548
2024/2/23 0:00,2565.403
2024/2/24 0:00,2199.821
2024/2/25 0:00,2584.341
2024/2/26 0:00,2427.926
2024/2/27 0:00,2291.577
2024/2/28 0:00,2109.985
2024/2/29 0:00,2989.867
2024/3/1 0:00,2870.64
2024/3/2 0:00,2409.941
2024/3/3 0:00,2346.209
2024/3/4 0:00,1751.3
2024/3/5 0:00,2622.208
2024/3/6 0:00,2328.094
2024/3/7 0:00,1978.058
2024/3/8 0:00,2182.051
2024/3/9 0:00,2303.367
2024/3/10 0:00,1839.819
2024/3/11 0:00,1498.204
2024/3/12 0:00,1900.052
2024/3/13 0:00,2071.459
2024/3/14 0:00,2331.711
2024/3/15 0:00,2024.276
2024/3/16 0:00,2955.39
2024/3/17 0:00,2517.797
2024/3/18 0:00,1517.199
2024/3/19 0:00,1931.625
2024/3/20 0:00,2310.483
2024/3/21 0:00,2682.549
2024/3/22 0:00,2216.396
2024/3/23 0:00,2297.833
2024/3/24 0:00,3396.912
2024/3/25 0:00,2391.705
2024/3/26 0:00,2259.557
2024/3/27 0:00,2926.109
2024/3/28 0:00,2335.039
2024/3/29 0:00,2697.197
2024/3/30 0:00,2519.319
2024/3/31 0:00,3158.776
2024/4/1 0:00,2215.798
2024/4/2 0:00,2293.764
2024/4/3 0:00,3521.521
2024/4/4 0:00,3967.677
2024/4/5 0:00,3558.544
2024/4/6 0:00,3292.919
2024/4/7 0:00,2288.402
2024/4/8 0:00,2485.913
2024/4/9 0:00,2278.069
2024/4/10 0:00,1992.958
2024/4/11 0:00,1996.034
2024/4/12 0:00,2610.049
2024/4/13 0:00,2787.961
2024/4/14 0:00,2641.631
2024/4/15 0:00,1532.383
2024/4/16 0:00,2127.77
2024/4/17 0:00,2227.297
2024/4/18 0:00,1725.354
2024/4/19 0:00,2197.649
2024/4/20 0:00,3194.877
2024/4/21 0:00,2742.271
2024/4/22 0:00,2554.087
2024/4/23 0:00,2248.087
2024/4/24 0:00,2375.63
2024/4/25 0:00,2263.947
2024/4/26 0:00,2319.593
2024/4/27 0:00,2124.876
2024/4/28 0:00,2578.822
2024/4/29 0:00,2620.751
2024/4/30 0:00,3822.331
2024/5/1 0:00,4968.439
2024/5/2 0:00,4998.546
2024/5/3 0:00,4116.584
2024/5/4 0:00,4115.614
2024/5/5 0:00,4210.915
2024/5/6 0:00,2370.421
2024/5/7 0:00,2481.073
2024/5/8 0:00,2583.585
2024/5/9 0:00,2127.918
2024/5/10 0:00,2136.837
2024/5/11 0:00,2141.311
2024/5/12 0:00,2141.812
2024/5/13 0:00,2258.635
2024/5/14 0:00,1756.266
2024/5/15 0:00,2388.426
2024/5/16 0:00,2063.254
2024/5/17 0:00,3053.033
2024/5/18 0:00,4413.187
2024/5/19 0:00,3627.136
2024/5/20 0:00,2803.139
2024/5/21 0:00,2156.047
2024/5/22 0:00,2776.724
2024/5/23 0:00,2468.798
2024/5/24 0:00,3790.432
2024/5/25 0:00,3447.933
2024/5/26 0:00,2692.144
